date,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Price - AUD/MWh
4/06/2025 16:50,1012.75,465.46,0,19.17,161
4/06/2025 16:55,965.92,340.06,0,19.08,163.45
4/06/2025 17:00,973.42,270.24,143.64,19,162.83
4/06/2025 17:05,998.73,194.03,123.43,18.93,162.73
4/06/2025 17:10,1005.47,132.3,103.22,18.87,162.83
4/06/2025 17:15,992.1,89.17,83.01,18.8,147.73
4/06/2025 17:20,1003.22,60.6,62.79,18.73,143.73
4/06/2025 17:25,1031.16,32.64,42.58,18.67,168.44
4/06/2025 17:30,1042.94,13.71,22.37,18.6,162.83
4/06/2025 17:35,1031.54,6.82,18.78,18.47,162.83
4/06/2025 17:40,1021.51,4.72,15.19,18.33,174.41
4/06/2025 17:45,1011.69,2.72,11.6,18.2,162.83
4/06/2025 17:50,1011.43,1.42,8.01,18.07,163.45
4/06/2025 17:55,998.83,0.72,4.42,17.93,166.61
4/06/2025 18:00,999,0.72,0.82,17.8,190.74
4/06/2025 18:05,1000.54,0.72,0.69,17.7,162.45
4/06/2025 18:10,920.53,0.72,0.55,17.6,132.34
4/06/2025 18:15,967.54,0.72,0.41,17.5,147.73
4/06/2025 18:20,898.81,0.72,0.27,17.4,147.73
4/06/2025 18:25,896.95,0.72,0.14,17.3,162.83
4/06/2025 18:30,898.12,0.72,0,17.2,143.53
4/06/2025 18:35,886.57,0.72,0,17.17,147.73
4/06/2025 18:40,923.03,0.72,0,17.13,162.73
4/06/2025 18:45,917.18,0.72,0,17.1,163.45
4/06/2025 18:50,855.61,0.72,0,17.07,163.45
4/06/2025 18:55,845.81,0.72,0,17.03,161
4/06/2025 19:00,850.32,0.72,0,17,200
4/06/2025 19:05,838.88,0.72,0,16.93,196.26
4/06/2025 19:10,844.84,0.72,0,16.87,163.45
4/06/2025 19:15,865.11,0.72,0,16.8,143.53
4/06/2025 19:20,854.17,0.72,0,16.73,162.83
4/06/2025 19:25,858.16,0.72,0,16.67,174.41
4/06/2025 19:30,853.82,0.72,0,16.6,161
4/06/2025 19:35,887.48,0.72,0,16.52,162.83
4/06/2025 19:40,881.67,0.72,0,16.43,143.53
4/06/2025 19:45,888.21,0.72,0,16.35,143.53
4/06/2025 19:50,889.02,0.72,0,16.27,132.34
4/06/2025 19:55,876.12,0.72,0,16.18,143.73
4/06/2025 20:00,872.74,0.72,0,16.1,130.17
4/06/2025 20:05,871.28,0.72,0,16,121.92
4/06/2025 20:10,864.33,0.72,0,15.9,143.53
4/06/2025 20:15,854.95,0.72,0,15.8,132.83
4/06/2025 20:20,855.35,0.72,0,15.7,132.34
4/06/2025 20:25,849.72,0.72,0,15.6,161
4/06/2025 20:30,842.07,0.72,0,15.5,129.77
4/06/2025 20:35,854.44,0.72,0,15.4,163.22
4/06/2025 20:40,839.9,0.72,0,15.3,161
4/06/2025 20:45,854,0.72,0,15.2,155.98
4/06/2025 20:50,861.47,0.72,0,15.1,162.45
4/06/2025 20:55,859.84,0.72,0,15,143.73
4/06/2025 21:00,851.92,0.72,0,14.9,142.22
4/06/2025 21:05,824.58,0.72,0,14.87,136.49
4/06/2025 21:10,802.15,0.72,0,14.83,143.53
4/06/2025 21:15,795.66,0.72,0,14.8,135.9
4/06/2025 21:20,789.59,0.72,0,14.77,132.82
4/06/2025 21:25,783.77,0.72,0,14.73,129.77
4/06/2025 21:30,767.52,0.72,0,14.7,129.77
4/06/2025 21:35,744.48,0.72,0,14.65,129.45
4/06/2025 21:40,713.64,0.72,0,14.6,123.05
4/06/2025 21:45,698.59,0.72,0,14.55,124.77
4/06/2025 21:50,694.26,0.72,0,14.5,110.73
4/06/2025 21:55,677.91,0.78,0,14.45,109.67
4/06/2025 22:00,681.24,0.78,0,14.4,108.04
4/06/2025 22:05,661.45,0.78,0,14.38,121.78
4/06/2025 22:10,644.35,0.78,0,14.37,143.53
4/06/2025 22:15,624.84,0.92,0,14.35,162.43
4/06/2025 22:20,624.78,0.92,0,14.33,162.45
4/06/2025 22:25,599.71,0.92,0,14.32,151.57
4/06/2025 22:30,579.89,0.92,0,14.3,160.26
4/06/2025 22:35,563.5,0.92,0,14.23,132.37
4/06/2025 22:40,554.21,0.92,0,14.17,143.53
4/06/2025 22:45,523.95,1.06,0,14.1,133.98
4/06/2025 22:50,516.73,1.06,0,14.03,133.54
4/06/2025 22:55,519.29,1.06,0,13.97,131.29
4/06/2025 23:00,516.36,1.06,0,13.9,126.21
4/06/2025 23:05,500.13,1.06,0,13.88,156.41
4/06/2025 23:10,491.97,1.06,0,13.87,155.03
4/06/2025 23:15,513.5,1.06,0,13.85,153.91
4/06/2025 23:20,559.35,1.06,0,13.83,143.53
4/06/2025 23:25,596.81,1.06,0,13.82,124.93
4/06/2025 23:30,628.68,1.06,0,13.8,122.21
4/06/2025 23:35,660.41,1.06,0,13.72,118.58
4/06/2025 23:40,680.13,1.06,0,13.63,117.61
4/06/2025 23:45,684.14,1.06,0,13.55,119.3
4/06/2025 23:50,683.22,1.06,0,13.47,118.89
4/06/2025 23:55,686.96,1.06,0,13.38,110.73
5/06/2025 0:00,708.54,1.06,0,13.3,105.13
5/06/2025 0:05,723.56,1.06,0,13.28,100.83
5/06/2025 0:10,742.47,1.06,0,13.27,102.99
5/06/2025 0:15,765.34,1.06,0,13.25,100.95
5/06/2025 0:20,797.2,1.06,0,13.23,100.83
5/06/2025 0:25,793.8,1.06,0,13.22,100.83
5/06/2025 0:30,790.72,1.06,0,13.2,100.75
5/06/2025 0:35,790.19,1.06,0,13.15,100.83
5/06/2025 0:40,799.33,1.06,0,13.1,100.63
5/06/2025 0:45,810.25,1.06,0,13.05,98.45
5/06/2025 0:50,809.27,1.06,0,13,98.45
5/06/2025 0:55,825.53,1.06,0,12.95,94.05
5/06/2025 1:00,814.63,1.06,0,12.9,88.99
5/06/2025 1:05,802.82,1.06,0,12.88,87.73
5/06/2025 1:10,790.04,1.06,0,12.87,96.13
5/06/2025 1:15,789.53,1.06,0,12.85,87.73
5/06/2025 1:20,779.53,1.06,0,12.83,98.45
5/06/2025 1:25,797.43,1.06,0,12.82,87.73
5/06/2025 1:30,799.53,1.06,0,12.8,83.45
5/06/2025 1:35,785.9,1.06,0,12.73,87.73
5/06/2025 1:40,806.25,1.06,0,12.67,95.34
5/06/2025 1:45,799.41,1.06,0,12.6,84.99
5/06/2025 1:50,809.97,1.06,0,12.53,94.11
5/06/2025 1:55,817.33,1.06,0,12.47,93.58
5/06/2025 2:00,826.3,1.06,0,12.4,95.22
5/06/2025 2:05,841.85,1.06,0,12.4,87.73
5/06/2025 2:10,833.71,1.06,0,12.4,87.73
5/06/2025 2:15,838.63,1.06,0,12.4,87.73
5/06/2025 2:20,822.7,1.06,0,12.4,84.99
5/06/2025 2:25,834.45,1.06,0,12.4,87.73
5/06/2025 2:30,837.08,1.06,0,12.4,83.45
5/06/2025 2:35,837.64,1.06,0,12.38,83.45
5/06/2025 2:40,851.26,1.06,0,12.37,82.94
5/06/2025 2:45,864.38,1.06,0,12.35,84.27
5/06/2025 2:50,880.61,1.06,0,12.33,83.45
5/06/2025 2:55,885.78,1.06,0,12.32,82.41
5/06/2025 3:00,865.88,1.06,0,12.3,77.45
5/06/2025 3:05,862.62,1.06,0,12.3,77.45
5/06/2025 3:10,833.99,1.06,0,12.3,83.77
5/06/2025 3:15,832.23,1.06,0,12.3,84.99
5/06/2025 3:20,826.14,1.06,0,12.3,84.99
5/06/2025 3:25,819.39,1.06,0,12.3,79.92
5/06/2025 3:30,800.93,1.06,0,12.3,83.44
