date,Battery (Charging) -  MW,Pumps -  MW,Coal (Brown) -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-04 16:50,-9.48,0.00,4040.13,12948.08,-7.74,0.00,587.25,1393.72,1335.54,205.11,38.38,413.35,3967.62,2827.62,783.45,0.00,394.73,967.84,0.03,0.00,26.79,47.39,66.61,10.08,1.95,0.00,261.54
2025-06-04 16:55,-8.49,0.00,4036.06,13013.14,-7.34,0.00,610.75,1491.19,1417.44,209.61,38.49,611.29,3994.70,2766.39,581.15,0.00,394.34,972.56,0.03,0.00,27.91,50.73,70.54,10.30,1.96,0.00,265.83
2025-06-04 17:00,-9.23,0.00,4026.81,13094.43,-6.14,0.00,628.75,1511.20,1441.47,209.71,38.28,658.05,4203.57,2790.75,453.29,410.03,393.45,978.52,0.03,0.00,28.77,51.48,71.48,10.31,1.95,0.00,270.82
2025-06-04 17:05,-14.82,0.00,4007.84,13085.18,-12.44,0.00,645.13,1521.78,1633.02,207.14,38.77,587.05,4373.03,2802.09,329.12,354.23,391.60,977.64,0.02,0.00,29.57,51.89,81.46,10.18,1.97,0.00,282.33
2025-06-04 17:10,-15.31,0.00,4018.09,13182.21,-10.35,0.00,666.63,1606.26,1746.88,207.71,39.09,577.87,4330.33,2822.18,226.72,298.44,392.57,984.88,0.03,0.00,30.59,54.69,87.15,10.21,1.99,0.00,284.99
2025-06-04 17:15,-11.35,0.00,4030.94,13271.53,-8.34,-0.10,687.00,1688.57,1878.90,208.99,38.72,595.11,4311.38,2823.95,157.08,242.64,393.88,991.57,0.03,0.00,31.57,57.34,93.75,10.27,1.97,0.00,289.91
2025-06-04 17:20,-11.26,0.00,4020.47,13217.82,-8.48,-0.10,703.63,1767.81,2058.91,207.03,39.13,538.22,4410.58,2900.08,105.94,186.85,392.85,987.39,0.03,0.00,32.37,59.85,103.75,10.17,1.99,0.00,295.12
2025-06-04 17:25,-8.69,0.00,4036.22,13273.50,-11.08,0.00,706.75,1797.59,2148.08,208.64,38.81,494.35,4539.49,2995.32,65.39,131.05,394.36,991.41,0.03,0.00,32.52,60.68,108.07,10.25,1.97,0.00,296.67
2025-06-04 17:30,-6.40,0.00,4043.63,13308.43,-8.57,0.00,707.63,1845.04,2226.43,209.22,39.09,643.87,4500.20,3089.28,23.90,75.25,395.09,994.10,0.03,0.00,32.56,62.18,112.55,10.28,1.99,0.00,298.22
2025-06-04 17:35,-6.03,0.00,4033.84,13254.13,-9.65,0.00,706.13,1864.58,2286.42,211.02,38.56,716.85,4595.31,3106.46,15.14,63.16,394.14,989.87,0.03,0.00,32.49,62.87,116.35,10.37,1.96,0.00,295.12
2025-06-04 17:40,-5.52,0.00,4050.44,13333.72,-8.56,0.00,711.13,1906.96,2324.36,209.23,37.53,730.27,4682.72,3108.87,8.14,51.06,395.76,996.00,0.03,0.00,32.73,64.33,118.52,10.28,1.91,0.00,299.29
2025-06-04 17:45,-6.42,0.00,4025.19,13367.04,-9.05,-0.10,709.50,1915.52,2328.71,208.51,37.36,702.94,4782.49,3146.39,4.90,38.96,393.30,998.56,0.03,0.00,32.65,64.68,118.77,10.25,1.90,0.00,281.28
2025-06-04 17:50,-3.90,0.00,4039.72,13336.10,-7.96,0.00,710.13,1933.66,2348.67,209.49,37.07,1057.76,4550.50,3120.02,2.51,26.86,394.68,996.12,0.03,0.00,32.68,65.29,120.31,10.29,1.89,0.00,282.17
2025-06-04 17:55,-5.79,0.00,4035.06,13339.16,-7.03,0.00,709.75,1943.09,2353.03,208.16,37.53,1071.71,4622.48,3112.48,0.99,14.76,394.24,996.25,0.03,0.00,32.66,65.65,120.55,10.23,1.91,0.00,272.87
2025-06-04 18:00,-2.04,0.00,4030.50,13300.74,-1.65,0.00,708.00,1940.85,2405.51,206.74,37.43,1293.98,4451.54,3155.30,0.75,2.66,393.80,993.17,0.04,0.00,32.58,65.59,123.75,10.16,1.91,0.00,256.64
2025-06-04 18:05,-2.71,0.00,4012.94,13241.43,-5.45,0.00,704.75,1941.17,2553.49,207.89,35.06,1196.07,4423.68,3105.55,0.86,2.22,392.10,988.50,0.03,0.00,32.43,65.63,132.95,10.22,1.78,0.00,245.86
2025-06-04 18:10,-1.83,0.00,4024.78,13270.00,-3.22,0.00,705.13,1957.85,2578.76,208.42,35.30,1160.17,4401.89,2997.10,0.86,1.77,393.27,990.67,0.04,0.00,32.45,66.20,134.60,10.24,1.79,0.00,237.84
2025-06-04 18:15,-4.98,0.00,4024.22,13169.03,-1.73,0.00,705.13,1967.07,2526.44,209.25,35.79,1316.95,4461.16,3013.18,0.75,1.33,393.18,982.68,0.04,0.00,32.45,66.54,131.03,10.28,1.82,0.00,237.98
2025-06-04 18:20,-4.27,0.00,4027.44,13209.93,-2.53,0.00,705.75,1969.92,2447.61,208.06,33.73,1340.98,4468.49,2953.09,0.76,0.89,393.54,985.99,0.04,0.00,32.48,66.64,125.94,10.22,1.71,0.00,242.40
2025-06-04 18:25,-3.42,0.00,4024.59,13263.17,1.98,0.00,708.00,1979.17,2633.58,208.64,34.83,1134.21,4465.44,2955.98,0.79,0.44,393.22,990.06,0.05,0.00,32.58,66.98,137.84,10.25,1.77,0.00,244.00
2025-06-04 18:30,-3.39,0.00,4021.28,13314.14,-1.22,0.00,707.38,1978.67,2681.22,207.55,34.74,1029.57,4446.49,2973.85,1.08,0.00,392.90,994.12,0.04,0.00,32.55,66.98,140.84,10.20,1.76,0.00,243.94
2025-06-04 18:35,-3.54,0.00,4035.22,13342.81,-2.51,-0.10,708.38,1995.62,2670.76,209.78,35.42,1008.82,4301.34,3034.86,0.75,0.00,394.26,996.50,0.04,0.00,32.60,67.56,140.13,10.31,1.80,0.00,242.05
2025-06-04 18:40,-2.81,0.00,4040.91,13398.68,-3.72,-0.10,712.75,1935.90,2546.86,208.76,34.08,952.31,4323.36,3123.62,0.86,0.00,394.80,1000.90,0.04,0.00,32.80,65.58,132.01,10.26,1.73,0.00,245.89
2025-06-04 18:45,-7.48,0.00,4028.69,13432.83,-6.22,-0.10,706.63,1998.52,2559.70,208.53,35.47,812.43,4285.39,3219.49,0.75,0.00,393.60,1003.70,0.03,0.00,32.51,67.67,132.82,10.25,1.80,0.00,246.05
2025-06-04 18:50,-4.31,0.00,4028.59,13464.45,-7.43,-0.10,709.88,2010.29,2531.56,208.24,33.31,587.40,4448.92,3201.26,0.75,0.00,393.62,1006.26,0.03,0.00,32.66,68.06,131.12,10.23,1.69,0.00,243.77
2025-06-04 18:55,-10.05,0.00,4047.50,13481.03,-7.04,-0.10,708.00,2026.17,2472.46,210.12,36.50,465.79,4574.56,3219.39,0.98,0.00,395.44,1007.41,0.03,0.00,32.58,68.59,127.28,10.33,1.86,0.00,246.18
2025-06-04 19:00,-8.98,0.00,4039.34,13433.01,-9.54,-0.10,709.25,2001.21,2574.91,210.97,34.67,456.55,4536.53,3195.80,0.75,0.00,394.66,1003.58,0.03,0.00,32.63,67.75,134.02,10.37,1.76,0.00,246.14
2025-06-04 19:05,-3.68,0.00,4025.34,13458.44,-11.54,-0.10,706.25,1995.99,2545.45,208.04,34.20,361.24,4549.10,3176.15,0.90,0.00,393.29,1005.66,0.02,0.00,32.50,67.56,131.56,10.22,1.74,0.00,250.12
2025-06-04 19:10,-6.49,0.00,4027.06,13467.17,-10.86,-0.10,706.38,2000.47,2633.57,209.89,34.41,275.33,4348.47,3241.47,0.75,0.00,393.47,1006.35,0.03,0.00,32.50,67.71,137.95,10.31,1.75,0.00,252.43
2025-06-04 19:15,-5.76,0.00,4019.97,13460.35,-5.45,-0.10,706.63,1991.14,2642.91,207.51,35.31,321.02,4176.97,3279.23,0.75,0.00,392.77,1005.86,0.03,0.00,32.51,67.39,139.07,10.20,1.80,0.00,248.17
2025-06-04 19:20,-3.75,0.00,4035.88,13389.12,-5.74,0.00,710.63,1940.11,2487.46,209.31,35.00,481.87,4295.87,3234.37,0.87,0.00,394.33,1000.34,0.03,0.00,32.70,65.68,129.82,10.29,1.77,0.00,248.34
2025-06-04 19:25,-4.24,0.00,4023.31,13422.52,-8.35,0.00,707.00,1979.83,2398.13,209.86,35.89,242.28,4441.25,3273.31,0.75,0.00,393.11,1002.98,0.03,0.00,32.53,67.02,124.17,10.31,1.82,0.00,227.97
2025-06-04 19:30,-2.81,0.00,4040.19,13480.31,-10.37,0.00,710.00,2003.64,2291.77,209.34,33.79,176.93,4472.47,3294.34,0.75,0.00,394.74,1007.35,0.03,0.00,32.67,67.82,117.11,10.29,1.71,0.00,246.34
2025-06-04 19:35,-12.25,0.00,4011.13,13403.65,-10.26,0.00,705.63,1936.71,2296.27,208.36,35.66,178.79,4432.90,3367.06,0.92,0.00,391.89,1001.47,0.03,0.00,32.47,65.59,118.20,10.24,1.81,0.00,209.70
2025-06-04 19:40,-8.11,0.00,4013.38,13432.17,-10.14,0.00,705.25,1936.89,2165.47,207.22,33.69,209.82,4306.95,3430.18,0.75,0.00,392.14,1003.79,0.03,0.00,32.45,65.60,110.57,10.18,1.72,0.00,206.50
2025-06-04 19:45,-8.92,0.00,4024.00,13377.60,-11.96,0.00,708.13,1923.47,2153.75,208.12,35.29,297.90,4126.66,3494.80,0.75,0.00,393.17,999.48,0.02,0.00,32.58,65.15,109.94,10.23,1.80,0.00,206.69
2025-06-04 19:50,-8.55,0.00,4021.94,13382.56,-16.27,0.00,707.75,1922.23,2153.63,208.01,34.51,216.71,4075.24,3557.25,0.88,0.00,392.94,999.85,0.02,0.00,32.56,65.10,109.94,10.22,1.75,0.00,250.75
2025-06-04 19:55,-11.59,0.00,4023.78,13336.70,-15.86,0.00,707.38,1920.50,2134.52,206.81,34.54,117.82,4149.81,3574.31,0.75,0.00,393.16,996.24,0.02,0.00,32.55,65.05,109.31,10.16,1.75,0.00,179.03
2025-06-04 20:00,-7.20,0.00,4034.63,13390.06,-10.36,-0.10,708.88,1866.37,1988.97,208.30,35.68,108.26,4128.77,3578.81,0.75,0.00,394.21,1000.44,0.03,0.00,32.62,63.23,99.29,10.24,1.81,0.00,175.80
2025-06-04 20:05,-7.90,0.00,4030.75,13303.36,-6.88,-0.10,708.75,1864.93,1958.66,207.11,36.47,214.50,4020.57,3577.07,0.75,0.00,393.82,993.70,0.03,0.00,32.61,63.19,97.36,10.18,1.85,0.00,178.65
2025-06-04 20:10,-8.46,0.00,4029.66,13319.11,-4.68,-0.10,690.13,1844.54,1918.60,207.42,32.94,230.88,4072.87,3538.78,0.75,0.00,393.70,994.99,0.04,0.00,31.72,62.43,95.42,10.19,1.68,0.00,179.03
2025-06-04 20:15,-12.08,0.00,4028.63,13396.08,-3.79,-0.10,683.13,1851.11,1854.18,208.48,33.78,156.16,4060.91,3520.29,0.75,0.00,393.59,1000.95,0.04,0.00,31.38,62.53,92.17,10.25,1.72,0.00,176.30
2025-06-04 20:20,-7.76,0.00,4027.63,13377.18,-4.27,-0.10,684.13,1781.71,1804.08,209.87,33.10,299.85,3952.55,3542.50,0.75,0.00,393.49,999.65,0.04,0.00,31.43,60.09,89.82,10.31,1.68,0.00,177.26
2025-06-04 20:25,-7.53,0.00,4033.78,13370.94,-0.73,-0.10,686.88,1762.20,1787.31,207.71,32.97,253.88,3973.79,3547.63,0.75,0.00,394.12,999.12,0.04,0.00,31.56,59.33,89.03,10.21,1.68,0.00,180.18
2025-06-04 20:30,-43.57,0.00,4029.22,13445.53,-1.32,-0.10,703.75,1773.29,1772.62,208.99,33.30,43.07,3975.23,3575.34,0.75,0.00,393.64,1005.08,0.04,0.00,32.37,59.61,88.19,10.27,1.70,0.00,160.00
2025-06-04 20:35,-8.81,0.00,4030.81,13395.78,1.77,-0.10,708.50,1683.64,1772.17,210.33,33.52,190.43,3825.36,3580.34,0.75,0.00,393.84,1001.19,0.05,0.00,32.60,56.52,88.23,10.34,1.71,0.00,177.70
2025-06-04 20:40,-22.81,0.00,4032.81,13506.36,-7.12,-0.10,707.75,1710.90,1727.67,210.39,34.05,94.75,3701.88,3573.26,0.75,0.00,394.03,1009.87,0.03,0.00,32.56,57.41,86.02,10.34,1.73,0.00,177.06
2025-06-04 20:45,-31.33,0.00,4036.19,13508.99,-5.95,-0.10,698.63,1695.16,1684.41,209.20,34.01,107.21,3637.42,3569.79,0.75,0.00,394.35,1009.90,0.03,0.00,32.15,56.84,83.98,10.28,1.73,0.00,174.32
2025-06-04 20:50,-18.06,0.00,4034.69,13511.86,-8.35,0.00,687.75,1674.57,1655.90,207.90,33.71,140.36,3572.21,3588.22,0.75,0.00,394.18,1010.14,0.03,0.00,31.66,56.12,82.59,10.22,1.71,0.00,176.20
2025-06-04 20:55,-29.06,0.00,4012.88,13461.09,-7.23,0.00,662.75,1671.16,1650.03,207.71,34.00,10.84,3611.96,3537.13,0.75,0.00,392.08,1006.36,0.03,0.00,30.53,55.98,82.27,10.21,1.73,0.00,160.00
2025-06-04 21:00,-6.84,0.00,4033.31,13485.72,-6.13,0.00,636.75,1664.39,1657.39,209.02,32.54,9.27,3432.70,3570.92,0.75,0.00,394.08,1008.04,0.03,0.00,29.35,55.76,82.67,10.27,1.66,0.00,156.25
2025-06-04 21:05,-10.37,0.00,4036.88,13430.53,-5.44,0.00,596.13,1661.96,1656.76,209.19,33.47,21.03,3403.89,3541.11,0.75,0.00,394.39,1003.86,0.03,0.00,27.51,55.67,82.65,10.28,1.70,0.00,147.84
2025-06-04 21:10,-9.53,0.00,4033.22,13406.91,-3.06,0.00,591.63,1663.90,1642.76,208.84,33.33,30.79,3306.13,3506.13,0.75,0.00,394.07,1002.14,0.04,0.00,27.29,55.74,81.98,10.26,1.70,0.00,154.11
2025-06-04 21:15,-7.99,0.00,4043.22,13438.72,-1.95,0.00,600.38,1674.22,1646.03,210.30,33.50,25.87,3180.16,3417.13,0.75,0.00,395.04,1004.45,0.04,0.00,27.71,56.09,82.15,10.33,1.71,0.00,147.22
