date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-11 08:10,-4.36,0.00,-474.15,860.85,6755.87,-8.19,0.00,80.00,561.35,163.38,1684.77,822.00,383.51,0.00,9.40,24.52,44.19,508.36,0.05,0.00,4.77,28.03,0.00,240.89
2025-06-11 08:15,-4.97,0.00,-278.78,879.10,6790.00,-9.41,0.00,80.00,561.23,165.13,1069.94,795.19,469.03,0.00,9.55,15.24,44.17,510.99,0.05,0.00,4.77,28.02,0.00,299.99
2025-06-11 08:20,-5.06,0.00,-196.27,881.10,6818.59,-9.70,0.00,80.00,561.76,165.03,663.09,782.87,557.10,0.00,9.70,11.11,43.17,513.11,0.04,0.00,4.77,28.05,0.00,299.98
2025-06-11 08:25,-4.54,0.00,-223.70,819.55,6862.46,-9.85,0.00,80.00,561.09,123.91,588.00,800.63,684.60,0.00,9.85,12.65,39.44,516.33,0.04,0.00,4.77,28.02,0.00,109.50
2025-06-11 08:30,-4.78,0.00,-159.89,856.80,6799.91,-9.43,0.00,80.00,561.75,40.52,371.04,806.94,668.85,858.62,10.00,9.31,41.42,511.56,0.04,0.00,4.77,28.05,0.00,73.84
2025-06-11 08:35,-4.41,0.00,-244.09,890.00,6747.40,-10.21,0.00,80.00,562.68,52.98,427.65,800.16,741.63,947.81,10.32,13.99,42.35,507.53,0.04,0.00,4.77,28.10,0.00,76.80
2025-06-11 08:40,-5.37,0.00,-323.49,1232.35,6666.17,-9.61,0.00,80.00,561.91,16.22,322.24,810.79,865.23,1037.00,10.63,18.51,57.46,501.46,0.04,0.00,4.77,28.06,0.00,76.16
2025-06-11 08:45,-6.07,0.00,-308.59,1206.80,6566.41,-9.60,0.00,0.00,562.01,0.07,315.68,786.02,955.15,1126.19,10.95,17.51,55.67,493.83,0.04,0.00,0.00,28.06,0.00,65.34
2025-06-11 08:50,-19.05,0.00,-328.63,1191.60,6473.83,-10.56,0.00,0.00,562.66,0.06,287.21,797.42,1050.43,1215.38,11.27,18.42,54.09,486.82,0.04,0.00,0.00,28.09,0.00,76.58
2025-06-11 08:55,-44.88,0.00,-372.13,1178.70,6406.86,-11.45,0.00,0.00,511.96,4.16,445.42,785.35,1080.35,1304.58,11.58,20.42,52.29,481.90,0.04,0.00,0.00,25.49,0.00,64.95
