date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-11 08:15,-14.18,0.00,-879.10,0.00,5299.34,37.00,494.18,105.04,34.16,42.14,111.16,591.35,1573.42,0.00,13.60,44.17,0.00,391.61,0.06,17.96,5.11,1.76,0.00,0.00
2025-06-11 08:20,-76.88,0.00,-881.10,0.00,5091.74,38.40,486.03,78.80,33.51,99.81,110.83,576.44,1644.46,0.00,13.70,43.17,0.00,376.55,0.06,17.67,3.81,1.73,0.00,0.00
2025-06-11 08:25,-117.14,0.00,-819.55,0.00,4918.93,40.80,477.38,80.47,33.74,95.00,93.00,550.60,1756.91,0.00,13.80,39.44,0.00,364.21,0.07,17.36,3.89,1.74,0.00,84.19
2025-06-11 08:30,-118.31,0.00,-856.80,0.00,4920.44,31.90,456.05,81.64,33.86,6.66,85.86,543.72,1834.21,1372.97,13.90,41.42,0.00,364.22,0.05,16.58,3.95,1.74,0.00,44.94
2025-06-11 08:35,-60.99,0.00,-890.00,0.00,4776.16,34.70,445.76,78.93,34.25,0.00,86.04,526.61,1903.41,1470.88,14.07,42.35,0.00,353.47,0.06,16.20,3.82,1.76,0.00,54.76
2025-06-11 08:40,-79.31,0.00,-1232.35,0.00,4596.62,35.90,431.79,38.49,34.07,0.00,86.07,524.06,1949.28,1568.79,14.23,57.46,0.00,339.48,0.06,15.70,1.86,1.75,0.00,54.76
2025-06-11 08:45,-13.40,0.00,-1206.80,0.00,4446.62,35.50,424.67,0.37,33.75,0.00,86.08,541.03,1907.44,1666.69,14.40,55.67,0.00,327.64,0.06,15.44,0.02,1.74,0.00,54.76
2025-06-11 08:50,-39.82,0.00,-1191.60,0.00,4329.00,40.20,418.72,0.37,34.27,0.00,86.29,541.74,1948.63,1764.60,14.57,54.09,0.00,318.84,0.07,15.23,0.02,1.76,0.00,64.86
2025-06-11 08:55,-11.06,-243.05,-1178.70,0.00,4413.95,32.50,409.57,0.37,33.21,7.86,86.23,546.02,1931.45,1862.51,14.73,52.29,0.00,325.12,0.05,14.89,0.02,1.71,0.00,54.76
2025-06-11 09:00,-25.68,-244.44,-1238.40,0.00,4353.13,30.40,396.01,0.37,34.79,0.00,85.97,543.62,2103.99,1960.41,14.90,53.53,0.00,320.62,0.05,14.39,0.02,1.79,0.00,5.30
2025-06-11 09:05,-13.60,-244.31,-1257.40,0.00,4258.12,31.10,351.95,0.37,34.34,6.64,86.23,542.04,2175.87,2046.67,14.95,53.40,0.00,313.74,0.05,12.80,0.02,1.76,0.00,5.30
2025-06-11 09:10,-17.43,-244.07,-1215.70,0.00,4122.82,30.40,307.94,0.37,34.21,0.00,86.58,550.74,2166.97,2132.93,15.00,51.08,0.00,303.98,0.05,11.22,0.02,1.76,0.00,34.75
