date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Coal (Brown) -  MW,Gas (Steam) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-25 07:10,-0.72,-1233.81,267.86,4435.31,0.00,0.00,202.31,22.12,2838.67,0.00,0.00,8.43,72.02,0.46,437.71,0.00,0.00,0.00,111.86
2025-06-25 07:15,-0.03,-1192.90,256.18,4468.16,0.00,0.00,274.43,22.52,2832.80,0.00,0.00,8.40,69.23,0.47,440.92,0.00,0.00,0.00,110.19
2025-06-25 07:20,-0.08,-1213.56,248.02,4428.59,0.00,0.00,485.75,22.12,2811.87,0.00,0.00,8.37,68.45,0.43,437.05,0.00,0.00,0.00,112.92
2025-06-25 07:25,-0.52,-1157.02,223.61,4423.44,0.00,0.00,463.72,22.02,2887.18,0.00,0.00,8.33,64.79,0.39,436.55,0.00,0.00,0.00,114.79
2025-06-25 07:30,-0.27,-1105.41,216.45,4432.88,0.00,0.00,431.48,22.12,2882.72,0.00,0.00,8.30,62.24,0.38,437.47,0.00,0.00,0.00,104.35
2025-06-25 07:35,-0.02,-1077.47,212.34,4438.09,0.00,0.00,483.74,22.12,2844.79,0.00,0.73,8.27,60.59,0.36,438.01,0.00,0.00,0.00,99.13
2025-06-25 07:40,-0.24,-1115.04,189.91,4430.13,0.00,0.00,430.22,22.12,3136.53,0.00,1.47,8.23,60.79,0.33,437.20,0.00,0.00,0.00,104.80
2025-06-25 07:45,-0.02,-1093.84,151.88,4457.66,0.00,0.00,495.66,22.02,3150.08,0.00,2.20,8.20,59.23,0.27,439.98,0.00,0.00,0.00,108.50
2025-06-25 07:50,-0.22,-991.09,137.53,4438.16,0.00,0.00,386.40,22.12,3156.09,0.96,2.93,8.17,54.24,0.24,438.06,0.00,0.00,0.00,107.34
2025-06-25 07:55,-0.63,-965.52,102.82,4446.44,0.00,0.00,399.79,21.12,3224.69,0.95,3.66,8.13,52.36,0.19,438.87,0.00,0.00,0.00,93.01
2025-06-25 08:00,-0.53,-883.52,94.25,4462.16,0.00,0.00,272.78,21.12,3210.46,2.32,4.40,8.10,48.83,0.17,440.43,0.00,0.00,0.00,93.01
