date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-07-16 07:05,-6.10,0.00,-49.55,580.10,6838.17,24.48,451.00,873.98,210.38,990.42,908.68,3.26,0.00,7.78,2.91,36.51,516.03,0.07,13.97,47.00,716.53,143.61
2025-07-16 07:10,-6.13,0.00,-17.85,637.23,6813.98,24.75,451.00,872.20,143.43,1054.36,890.18,3.11,0.00,7.77,1.05,39.71,514.30,0.07,13.97,46.91,719.68,203.54
2025-07-16 07:15,-5.98,0.00,0.00,681.00,6839.90,25.04,450.00,872.33,92.64,1106.30,879.91,6.20,0.00,7.75,0.00,42.11,516.35,0.08,13.94,46.91,722.71,176.21
2025-07-16 07:20,-6.94,0.00,0.00,649.21,6839.56,25.63,451.00,869.51,199.64,1109.69,865.33,11.78,0.00,7.73,0.00,40.31,516.41,0.08,13.97,46.75,712.90,186.23
2025-07-16 07:25,-72.41,0.00,0.00,785.25,6895.94,27.05,453.00,872.83,64.39,1124.54,851.01,28.20,0.00,7.72,0.00,48.00,520.76,0.08,14.04,46.94,738.08,244.17
2025-07-16 07:30,-38.21,0.00,0.00,769.37,6883.95,26.85,452.00,872.22,77.46,1113.82,834.83,70.10,82.34,7.70,0.00,46.77,519.93,0.08,14.00,46.90,725.70,204.09
2025-07-16 07:35,-6.66,0.00,-15.40,746.02,6885.54,28.43,451.00,872.71,128.93,1059.46,821.50,122.87,137.62,7.75,0.90,45.52,520.19,0.09,13.97,46.93,716.03,159.42
2025-07-16 07:40,-6.80,0.00,-29.85,778.53,6909.05,27.99,452.00,871.18,189.15,1020.30,802.91,164.90,192.90,7.80,1.75,48.22,522.00,0.08,14.00,46.82,712.67,146.70
2025-07-16 07:45,-5.69,0.00,0.00,727.84,6915.18,27.56,451.00,872.12,220.36,947.65,796.30,219.82,248.18,7.85,0.00,45.06,522.43,0.08,13.97,46.90,702.55,143.37
2025-07-16 07:50,-6.49,0.00,0.00,755.34,6894.72,28.44,451.00,872.19,139.54,906.68,782.59,288.38,303.46,7.90,0.00,46.47,520.92,0.09,13.97,46.89,704.92,144.40
2025-07-16 07:55,-6.60,0.00,0.00,701.24,6894.91,28.00,451.00,871.59,156.00,927.67,781.87,361.39,358.74,7.95,0.00,43.00,520.94,0.08,13.97,46.84,689.70,137.38
2025-07-16 08:00,-7.39,0.00,0.00,681.83,6892.37,28.07,452.00,872.95,30.06,946.53,790.49,467.08,414.01,8.00,0.00,41.73,520.63,0.08,14.00,46.94,684.01,133.30
2025-07-16 08:05,-9.50,0.00,0.00,668.15,6868.67,28.07,452.00,870.53,32.67,839.34,792.57,571.66,499.26,8.17,0.00,40.76,518.77,0.08,14.00,46.78,676.82,134.41
2025-07-16 08:10,-7.11,0.00,0.00,752.86,6844.13,28.02,451.00,754.14,224.74,490.59,776.26,697.19,584.51,8.33,0.00,45.94,516.71,0.08,13.97,39.23,677.85,131.38
2025-07-16 08:15,-7.07,0.00,0.00,751.81,6838.66,28.02,452.00,716.88,221.24,435.56,761.62,814.27,669.76,8.50,0.00,44.99,516.09,0.08,14.00,36.77,668.37,134.05
2025-07-16 08:20,-6.91,0.00,0.00,763.60,6795.62,28.13,451.00,713.98,132.15,331.67,759.58,913.35,755.01,8.67,0.00,45.35,512.65,0.08,13.97,36.62,668.64,76.80
2025-07-16 08:25,-7.26,0.00,0.00,817.04,6758.65,28.10,408.00,606.11,99.60,331.20,746.09,990.87,840.26,8.83,0.00,48.72,509.64,0.08,12.64,31.53,665.70,76.80
2025-07-16 08:30,-8.05,0.00,0.00,942.75,6682.09,28.19,363.00,585.31,10.24,197.43,728.22,1065.53,925.51,9.00,0.00,55.30,503.61,0.08,11.25,30.53,679.38,78.98
