date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-07-16 07:05,0.00,0.00,0.00,49.55,5671.16,48.50,0.00,802.94,0.26,45.32,449.59,530.76,224.04,26.26,0.00,10.08,0.00,2.91,421.52,0.10,0.00,31.37,0.01,2.33,705.10,148.73
2025-07-16 07:10,-0.56,0.00,0.00,17.85,5672.98,45.70,0.00,796.88,0.26,45.42,481.45,464.62,234.69,56.42,0.00,10.17,0.00,1.05,421.61,0.10,0.00,31.16,0.01,2.33,702.14,214.44
2025-07-16 07:15,-2.25,0.00,-1.45,0.00,5633.49,45.80,0.00,799.96,0.26,45.42,290.36,552.36,232.60,100.74,0.00,10.25,0.09,0.00,418.78,0.10,0.00,31.28,0.01,2.33,705.45,183.09
2025-07-16 07:20,-0.80,0.00,-42.30,0.00,5426.16,40.00,0.00,798.82,0.26,45.42,419.47,484.63,234.46,196.03,0.00,10.33,2.59,0.00,402.98,0.09,0.00,31.25,0.01,2.33,689.27,188.47
2025-07-16 07:25,0.00,0.00,-76.45,0.00,5297.30,41.70,0.00,805.42,0.26,45.42,421.68,483.00,232.40,314.49,0.00,10.42,4.66,0.00,392.90,0.09,0.00,31.50,0.01,2.33,677.05,240.40
2025-07-16 07:30,-0.46,0.00,-31.75,0.00,5206.37,43.90,0.00,802.05,0.26,45.42,350.00,545.93,232.43,450.37,290.84,10.50,1.90,0.00,385.51,0.10,0.00,31.38,0.01,2.33,634.12,208.00
2025-07-16 07:35,-3.07,0.00,0.00,15.40,5238.01,48.80,0.00,799.85,0.26,46.82,153.72,498.01,236.98,573.90,369.57,10.72,0.00,0.90,387.79,0.11,0.00,31.31,0.01,2.41,636.61,162.45
2025-07-16 07:40,-0.46,0.00,0.00,29.85,5268.53,46.50,0.00,800.99,0.26,46.82,20.35,453.88,241.36,729.55,448.31,10.93,0.00,1.75,390.22,0.10,0.00,31.35,0.01,2.41,634.06,145.14
2025-07-16 07:45,-0.36,0.00,-111.20,0.00,5314.83,45.90,0.00,807.71,0.26,46.92,96.22,443.64,234.44,851.63,527.04,11.15,6.65,0.00,393.64,0.10,0.00,31.59,0.01,2.41,621.66,134.00
2025-07-16 07:50,-0.97,0.00,-259.55,0.00,5280.88,46.40,0.00,801.45,0.26,46.82,267.98,436.12,224.64,1039.79,605.77,11.37,15.13,0.00,391.00,0.10,0.00,31.35,0.01,2.41,600.55,137.49
2025-07-16 07:55,-0.90,0.00,-267.20,0.00,5228.40,47.20,0.00,781.00,0.26,46.82,186.44,271.77,221.87,1182.03,684.51,11.58,15.55,0.00,387.26,0.10,0.00,30.60,0.01,2.41,601.82,128.73
2025-07-16 08:00,-2.75,0.00,-266.05,0.00,5129.00,48.10,0.00,761.38,0.26,47.82,88.42,236.81,220.73,1357.04,763.24,11.80,15.38,0.00,379.73,0.10,0.00,29.88,0.01,2.46,589.95,122.37
