date,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Price - AUD/MWh
2025-06-04 16:50:00,536.54,69.63,0.0,11.67,299.99
2025-06-04 16:55:00,551.06,41.73,0.0,11.63,299.99
2025-06-04 17:00:00,564.22,24.0,46.3,11.6,299.99
2025-06-04 17:05:00,546.67,8.86,38.59,11.62,299.99
2025-06-04 17:10:00,545.65,2.1,30.88,11.63,299.99
2025-06-04 17:15:00,558.53,0.52,23.16,11.65,299.99
2025-06-04 17:20:00,565.97,0.03,15.45,11.67,299.99
2025-06-04 17:25:00,582.1,0.03,7.74,11.68,299.99
2025-06-04 17:30:00,562.15,0.03,0.02,11.7,305.16
2025-06-04 17:35:00,577.48,0.03,0.02,11.72,301.17
2025-06-04 17:40:00,596.8,0.03,0.02,11.73,310.0
2025-06-04 17:45:00,640.24,0.03,0.01,11.75,299.99
2025-06-04 17:50:00,636.77,0.03,0.01,11.77,299.99
2025-06-04 17:55:00,645.84,0.03,0.0,11.78,299.49
2025-06-04 18:00:00,691.93,0.03,0.0,11.8,274.6
2025-06-04 18:05:00,678.64,0.03,0.0,11.83,256.04
2025-06-04 18:10:00,641.88,0.03,0.0,11.87,250.96
2025-06-04 18:15:00,622.11,0.03,0.0,11.9,250.7
2025-06-04 18:20:00,630.83,0.03,0.0,11.93,250.96
2025-06-04 18:25:00,649.11,0.03,0.0,11.97,250.96
2025-06-04 18:30:00,639.12,0.03,0.0,12.0,250.96
2025-06-04 18:35:00,671.13,0.03,0.0,12.05,250.96
2025-06-04 18:40:00,657.71,0.03,0.0,12.1,250.96
2025-06-04 18:45:00,668.54,0.03,0.0,12.15,250.96
2025-06-04 18:50:00,650.09,0.03,0.0,12.2,250.39
2025-06-04 18:55:00,651.42,0.03,0.0,12.25,250.96
2025-06-04 19:00:00,639.64,0.03,0.0,12.3,250.96
2025-06-04 19:05:00,627.54,0.03,0.0,12.27,255.26
2025-06-04 19:10:00,624.4,0.03,0.0,12.23,257.03
2025-06-04 19:15:00,630.71,0.03,0.0,12.2,250.96
2025-06-04 19:20:00,625.66,0.03,0.0,12.17,248.92
2025-06-04 19:25:00,643.06,0.03,0.0,12.13,223.31
2025-06-04 19:30:00,640.57,0.03,0.0,12.1,243.31
2025-06-04 19:35:00,639.94,0.03,0.0,12.1,210.5
2025-06-04 19:40:00,676.56,0.03,0.0,12.1,210.5
2025-06-04 19:45:00,674.5,0.03,0.0,12.1,210.5
2025-06-04 19:50:00,703.39,0.03,0.0,12.1,259.19
2025-06-04 19:55:00,726.85,0.03,0.0,12.1,182.47
2025-06-04 20:00:00,737.76,0.03,0.0,12.1,178.0
2025-06-04 20:05:00,753.06,0.03,0.0,12.07,185.06
2025-06-04 20:10:00,733.3,0.03,0.0,12.03,187.14
2025-06-04 20:15:00,728.75,0.03,0.0,12.0,182.71
2025-06-04 20:20:00,724.96,0.03,0.0,11.97,183.72
2025-06-04 20:25:00,730.82,0.03,0.0,11.93,186.83
2025-06-04 20:30:00,746.96,0.03,0.0,11.9,164.62
2025-06-04 20:35:00,743.59,0.03,0.0,11.82,185.95
2025-06-04 20:40:00,737.4,0.03,0.0,11.73,183.83
2025-06-04 20:45:00,727.44,0.03,0.0,11.65,179.5
2025-06-04 20:50:00,717.23,0.03,0.0,11.57,183.44
2025-06-04 20:55:00,696.74,0.03,0.0,11.48,163.56
2025-06-04 21:00:00,701.23,0.03,0.0,11.4,160.0
2025-06-04 21:05:00,687.14,0.03,0.0,11.37,154.85
2025-06-04 21:10:00,662.67,0.03,0.0,11.33,162.89
2025-06-04 21:15:00,639.98,0.03,0.0,11.3,154.42
2025-06-04 21:20:00,624.88,0.03,0.0,11.27,150.44
2025-06-04 21:25:00,626.82,0.03,0.0,11.23,148.05
2025-06-04 21:30:00,620.11,0.03,0.0,11.2,146.35
2025-06-04 21:35:00,610.04,0.03,0.0,11.17,147.11
2025-06-04 21:40:00,626.19,0.03,0.0,11.13,139.23
2025-06-04 21:45:00,655.58,0.03,0.0,11.1,140.37
2025-06-04 21:50:00,682.47,0.03,0.0,11.07,124.78
2025-06-04 21:55:00,692.27,0.03,0.0,11.03,123.78
2025-06-04 22:00:00,699.76,0.03,0.0,11.0,122.92
2025-06-04 22:05:00,699.65,0.03,0.0,10.97,138.0
2025-06-04 22:10:00,715.97,0.03,0.0,10.93,161.54
2025-06-04 22:15:00,712.76,0.03,0.0,10.9,176.89
2025-06-04 22:20:00,741.91,0.03,0.0,10.87,174.9
2025-06-04 22:25:00,762.28,0.03,0.0,10.83,163.46
2025-06-04 22:30:00,772.37,0.03,0.0,10.8,167.59
2025-06-04 22:35:00,771.9,0.03,0.0,10.73,138.0
2025-06-04 22:40:00,775.75,0.03,0.0,10.67,149.77
2025-06-04 22:45:00,779.79,0.03,0.0,10.6,138.0
2025-06-04 22:50:00,796.64,0.03,0.0,10.53,137.0
2025-06-04 22:55:00,820.57,0.03,0.0,10.47,133.89
2025-06-04 23:00:00,835.13,0.03,0.0,10.4,128.88
2025-06-04 23:05:00,840.3,0.03,0.0,10.4,156.82
2025-06-04 23:10:00,810.15,0.03,0.0,10.4,156.45
2025-06-04 23:15:00,844.94,0.03,0.0,10.4,156.28
2025-06-04 23:20:00,853.75,0.03,0.0,10.4,146.79
2025-06-04 23:25:00,847.83,0.03,0.0,10.4,127.95
2025-06-04 23:30:00,881.18,0.03,0.0,10.4,125.81
2025-06-04 23:35:00,862.89,0.03,0.0,10.37,124.81
2025-06-04 23:40:00,863.7,0.03,0.0,10.33,124.55
2025-06-04 23:45:00,843.61,0.03,0.0,10.3,124.78
2025-06-04 23:50:00,875.9,0.03,0.0,10.27,123.59
2025-06-04 23:55:00,893.07,0.03,0.0,10.23,113.82
2025-06-05 00:00:00,879.84,0.03,0.0,10.2,108.89
2025-06-05 00:05:00,880.41,0.03,0.0,10.13,105.88
2025-06-05 00:10:00,866.25,0.03,0.0,10.07,109.5
2025-06-05 00:15:00,848.26,0.03,0.0,10.0,108.72
2025-06-05 00:20:00,823.41,0.03,0.0,9.93,109.33
2025-06-05 00:25:00,801.85,0.03,0.0,9.87,108.89
2025-06-05 00:30:00,795.44,0.03,0.0,9.8,108.89
2025-06-05 00:35:00,804.94,0.03,0.0,9.78,108.61
2025-06-05 00:40:00,794.03,0.03,0.0,9.77,108.89
2025-06-05 00:45:00,793.18,0.03,0.0,9.75,105.96
2025-06-05 00:50:00,766.79,0.03,0.0,9.73,105.98
2025-06-05 00:55:00,783.5,0.03,0.0,9.72,102.61
2025-06-05 01:00:00,826.1,0.03,0.0,9.7,96.48
2025-06-05 01:05:00,845.45,0.03,0.0,9.67,94.67
2025-06-05 01:10:00,871.64,0.03,0.0,9.63,103.5
2025-06-05 01:15:00,886.22,0.03,0.0,9.6,95.38
2025-06-05 01:20:00,897.98,0.03,0.0,9.57,106.3
2025-06-05 01:25:00,907.09,0.03,0.0,9.53,93.07
