date,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Price - AUD/MWh
2025-06-04 16:50:00,1012.75,465.46,0.0,19.17,161.0
2025-06-04 16:55:00,965.92,340.06,0.0,19.08,163.45
2025-06-04 17:00:00,973.42,270.24,143.64,19.0,162.83
2025-06-04 17:05:00,998.73,194.03,123.43,18.93,162.73
2025-06-04 17:10:00,1005.47,132.3,103.22,18.87,162.83
2025-06-04 17:15:00,992.1,89.17,83.01,18.8,147.73
2025-06-04 17:20:00,1003.22,60.6,62.79,18.73,143.73
2025-06-04 17:25:00,1031.16,32.64,42.58,18.67,168.44
2025-06-04 17:30:00,1042.94,13.71,22.37,18.6,162.83
2025-06-04 17:35:00,1031.54,6.82,18.78,18.47,162.83
2025-06-04 17:40:00,1021.51,4.72,15.19,18.33,174.41
2025-06-04 17:45:00,1011.69,2.72,11.6,18.2,162.83
2025-06-04 17:50:00,1011.43,1.42,8.01,18.07,163.45
2025-06-04 17:55:00,998.83,0.72,4.42,17.93,166.61
2025-06-04 18:00:00,999.0,0.72,0.82,17.8,190.74
2025-06-04 18:05:00,1000.54,0.72,0.69,17.7,162.45
2025-06-04 18:10:00,920.53,0.72,0.55,17.6,132.34
2025-06-04 18:15:00,967.54,0.72,0.41,17.5,147.73
2025-06-04 18:20:00,898.81,0.72,0.27,17.4,147.73
2025-06-04 18:25:00,896.95,0.72,0.14,17.3,162.83
2025-06-04 18:30:00,898.12,0.72,0.0,17.2,143.53
2025-06-04 18:35:00,886.57,0.72,0.0,17.17,147.73
2025-06-04 18:40:00,923.03,0.72,0.0,17.13,162.73
2025-06-04 18:45:00,917.18,0.72,0.0,17.1,163.45
2025-06-04 18:50:00,855.61,0.72,0.0,17.07,163.45
2025-06-04 18:55:00,845.81,0.72,0.0,17.03,161.0
2025-06-04 19:00:00,850.32,0.72,0.0,17.0,200.0
2025-06-04 19:05:00,838.88,0.72,0.0,16.93,196.26
2025-06-04 19:10:00,844.84,0.72,0.0,16.87,163.45
2025-06-04 19:15:00,865.11,0.72,0.0,16.8,143.53
2025-06-04 19:20:00,854.17,0.72,0.0,16.73,162.83
2025-06-04 19:25:00,858.16,0.72,0.0,16.67,174.41
2025-06-04 19:30:00,853.82,0.72,0.0,16.6,161.0
2025-06-04 19:35:00,887.48,0.72,0.0,16.52,162.83
2025-06-04 19:40:00,881.67,0.72,0.0,16.43,143.53
2025-06-04 19:45:00,888.21,0.72,0.0,16.35,143.53
2025-06-04 19:50:00,889.02,0.72,0.0,16.27,132.34
2025-06-04 19:55:00,876.12,0.72,0.0,16.18,143.73
2025-06-04 20:00:00,872.74,0.72,0.0,16.1,130.17
2025-06-04 20:05:00,871.28,0.72,0.0,16.0,121.92
2025-06-04 20:10:00,864.33,0.72,0.0,15.9,143.53
2025-06-04 20:15:00,854.95,0.72,0.0,15.8,132.83
