date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-07-03,-0.55,-2.27,-4.84,13.72,148.22,0.42,0.00,3.60,5.94,0.46,8.53,32.44,13.44,13.30,16.20,12.30,10.20,2810.34,9918.50,133997.31,14.80,0.00,1553.70,3572.58,0.00,135.73,45509.26,153634.54,19574891.75,48734.11,0.00,693684.75,1212447.30,101478.98,1700075.81,3993610.11,1038122.27,995454.07
2024-07-04,-0.50,-0.35,-6.75,8.60,140.18,0.20,0.00,2.72,5.32,0.40,9.10,38.70,15.77,14.09,17.70,14.32,12.30,3956.21,5660.04,126629.88,7.45,0.00,1066.87,3081.81,0.00,142.36,39274.07,23753.77,19935425.79,39428.02,0.00,623076.96,1069367.26,94262.13,1810171.42,5196328.73,875070.87,732317.43
2024-07-05,-0.45,-1.94,-4.27,9.54,146.01,0.54,0.00,2.88,6.00,0.50,8.04,34.97,14.95,13.29,16.80,13.60,10.50,2483.39,6264.06,132065.11,19.06,0.00,1192.25,3501.06,0.00,145.39,34006.62,133287.36,21004096.81,74931.40,0.00,639323.92,1224638.35,121071.58,1695228.54,4626237.50,1216892.60,1032466.52
2024-07-06,-0.50,-5.22,-5.18,16.66,140.95,0.11,0.00,2.17,3.30,0.40,3.64,34.58,15.51,13.82,17.60,13.20,10.70,2922.44,11703.07,127387.75,4.00,0.00,809.32,1901.72,0.00,117.75,38393.82,329248.09,16853815.04,18163.72,0.00,418151.73,558532.17,81216.69,671254.66,3840636.12,968295.54,830888.13
2024-07-07,-0.55,-7.71,-1.00,16.26,145.79,0.33,0.00,2.00,1.67,0.33,3.65,27.35,9.64,12.15,17.30,13.86,12.70,746.89,11541.93,131560.07,10.17,0.00,807.59,983.93,0.00,100.34,35418.97,474096.85,14869390.05,33720.89,0.00,396916.67,224188.74,77059.56,708045.50,2574442.75,551334.69,676919.56
2024-07-08,-0.68,-1.17,-3.40,16.98,168.00,0.18,0.00,2.47,3.58,0.61,7.42,17.25,3.43,7.57,16.70,14.32,13.40,2588.52,12382.00,151734.59,5.97,0.00,1153.88,2063.62,0.00,182.15,83349.89,87800.29,29811461.58,31393.32,0.00,590880.60,773959.14,156682.13,1800988.97,2966093.81,613834.93,1414501.83
2024-07-09,-0.58,-1.12,-3.18,13.51,166.83,0.38,0.00,2.84,1.11,0.49,7.62,13.42,6.43,10.27,20.70,13.54,9.20,2411.62,9988.48,150873.69,12.65,0.00,1358.76,671.33,0.00,171.66,66487.25,132030.02,28229388.70,70704.70,0.00,623736.73,185260.05,117679.74,1764067.19,2163476.00,771792.16,1171330.88
2024-07-10,-0.61,-2.95,-2.93,19.04,162.19,0.31,0.02,0.96,2.42,0.57,7.63,11.67,11.21,15.24,19.70,13.85,8.90,1983.59,12061.52,146537.55,11.28,10.61,576.53,1517.91,0.00,138.06,47376.73,197982.31,22546088.36,46574.34,1078.71,214683.01,424548.05,142928.47,1621274.69,1410537.53,760233.83,910892.50
2024-07-11,-0.65,-1.18,-4.69,19.02,170.06,0.08,0.00,1.01,3.23,0.61,7.61,6.68,9.03,14.65,16.90,12.65,9.40,3654.53,12884.61,153473.26,2.90,0.00,721.52,2213.11,0.00,140.62,55995.86,90805.11,23700482.16,13257.58,0.00,223197.20,682475.62,117427.71,1597940.16,870513.05,671291.99,954820.94
2024-07-12,-0.82,-1.93,-5.28,17.05,170.44,0.08,0.00,0.99,3.87,0.72,7.30,6.24,9.82,15.92,19.40,13.83,11.30,4060.32,11764.83,153882.02,2.92,1.17,710.87,2223.99,0.00,156.97,77434.34,151177.32,26847202.64,15316.38,108.28,221753.15,787232.08,166353.08,1544244.87,1069016.50,808393.87,1179966.52
