date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-07-03,-0.30,-2.45,-12.66,0.00,130.22,0.49,0.10,12.80,5.25,1.18,0.25,3.02,9.12,13.51,11.12,19.60,15.48,13.00,9073.07,0.11,114955.55,9.82,105.77,6296.13,3126.65,723.91,0.00,117.34,19051.93,154751.87,15122724.02,58552.65,20013.83,1957321.90,976354.98,133265.82,55452.50,434663.56,1012770.33,942618.05,731411.55
2024-07-04,-0.35,-2.63,-6.35,1.38,123.44,0.17,0.00,7.49,4.58,1.14,0.28,3.90,11.26,10.23,14.65,20.60,15.47,11.40,4098.69,949.05,109168.30,4.50,0.00,3863.52,2680.67,698.05,0.00,140.85,26456.61,84577.92,17211614.42,22032.98,0.00,1542209.07,1062076.01,145584.03,72755.22,711634.34,1472912.95,496821.73,655852.18
2024-07-05,-0.34,-2.43,-7.32,0.31,114.84,0.61,0.00,9.35,3.60,1.00,0.26,3.61,14.52,11.71,15.97,21.20,16.18,12.70,4558.95,213.76,101362.91,12.24,0.00,4672.43,2153.16,609.66,0.00,147.46,27210.64,145041.01,16685446.23,87578.62,0.00,1803102.02,837725.72,141744.23,76060.60,656709.69,2047126.19,916129.30,1198221.20
2024-07-06,-0.30,-2.29,-13.94,0.00,116.04,0.61,0.00,9.24,1.98,0.97,0.24,4.78,15.84,10.73,16.10,21.20,17.11,13.40,9288.27,1.03,102894.43,12.39,0.00,4543.75,1151.85,587.73,0.00,104.61,13043.87,62322.71,12350821.65,61019.81,0.00,1363566.37,342568.09,97220.96,43537.76,658740.29,1504523.52,409595.08,578094.67
2024-07-07,-0.28,-2.64,-9.71,0.41,113.77,0.38,0.00,7.75,0.83,0.95,0.21,4.64,16.69,10.78,16.16,20.90,15.92,12.20,6399.39,317.35,100904.20,8.30,0.00,3777.51,481.52,579.57,0.00,85.92,7198.74,-13218.39,10052171.41,17324.38,0.00,1063479.65,159380.34,74539.09,49810.23,484338.50,1205326.11,114039.22,84209.50
2024-07-08,-0.32,-0.35,-16.01,0.09,128.36,0.55,0.00,12.46,4.19,0.97,0.27,4.22,12.71,8.86,12.27,20.30,16.61,14.70,11612.87,73.26,113968.25,11.25,0.00,5957.51,2455.57,587.60,0.00,159.94,30661.72,39989.97,20246793.48,90553.34,0.00,2398630.60,906593.49,149018.47,66339.48,726323.62,1800282.10,1347831.92,1793840.62
2024-07-09,-0.31,-1.03,-12.37,0.00,126.73,0.71,0.00,12.89,5.03,1.03,0.26,4.16,6.27,12.57,12.36,21.60,17.32,14.90,9177.20,0.00,112536.75,14.47,0.00,6140.79,2945.71,623.27,0.00,154.12,32896.22,112062.60,19351669.97,109800.50,0.00,2256429.11,1021678.81,160264.67,62834.26,713163.52,900461.68,1372077.13,1273720.57
2024-07-10,-0.34,-2.89,-12.52,0.47,121.77,0.66,0.00,12.09,3.79,1.23,0.27,4.58,5.90,15.36,16.22,23.80,17.88,12.70,8138.84,390.24,108062.03,13.40,0.00,5797.91,2217.30,756.79,0.00,126.21,21170.94,106122.46,15601660.97,76422.90,0.00,1840853.51,791812.14,148550.51,69714.95,697423.04,730778.14,777700.24,753890.27
2024-07-11,-0.34,-2.76,-17.87,0.01,117.09,0.86,0.00,11.16,3.67,1.21,0.30,5.33,5.29,17.32,19.20,23.70,17.06,12.00,12139.25,10.26,103801.78,17.50,0.00,5472.42,2166.50,745.51,0.00,115.93,13278.22,-8884.23,13865003.68,91923.49,0.00,1963738.37,800043.37,124721.41,62268.58,775858.37,514744.80,333970.62,226001.55
2024-07-12,-0.45,-2.19,-16.43,0.00,118.91,0.82,0.00,13.64,4.04,1.03,0.37,4.82,2.52,16.93,21.01,23.50,16.49,10.70,11207.39,0.00,105504.68,17.05,0.00,6497.25,2362.10,629.23,0.00,126.39,18286.15,-8822.32,15349458.17,104322.15,0.00,2151078.13,758436.10,117315.40,83974.36,743055.40,312595.03,408617.07,237203.53
