date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Gas (Steam) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Coal (Brown) Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-07-03,-0.95,-11.51,8.93,106.78,6.74,11.11,0.82,17.19,12.92,4.34,10.57,11.10,6.05,1.40,9791.45,3898.28,126527.12,3657.41,6691.20,0.00,203.29,131469.34,20909342.12,1521016.20,2736731.63,231992.25,3766148.48,2476022.05,751848.72,1667067.79
2024-07-04,-0.70,-11.69,15.97,98.22,6.28,9.98,0.48,17.38,22.67,3.77,6.41,11.30,7.72,3.60,9350.98,4955.33,116653.70,3408.58,5879.46,0.00,212.54,111874.48,19799995.06,1535151.05,2397351.58,122201.36,4132818.65,4310372.11,949248.67,1543198.40
2024-07-05,-1.01,-11.77,12.47,98.32,1.91,10.75,0.98,14.94,20.52,3.40,5.42,11.40,8.49,3.70,9805.49,2963.12,117373.79,1039.03,6305.60,0.00,189.97,132768.87,18007622.02,427037.24,2306344.63,246004.10,3239984.59,3460087.14,744243.66,1183508.82
2024-07-06,-1.14,-13.30,11.12,100.39,0.00,4.67,0.88,11.07,18.25,4.50,8.03,10.10,6.72,3.60,11601.37,3335.68,120055.62,0.00,2824.27,0.00,161.62,99293.62,15551270.05,0.00,986733.06,213078.68,2249573.43,2843525.59,667344.86,1007268.07
2024-07-07,-0.90,-21.42,1.23,99.62,0.00,2.64,0.66,6.98,34.52,2.93,10.23,16.40,9.19,5.30,16776.33,555.74,119164.71,0.00,1591.42,0.00,130.10,47566.31,11868542.23,0.00,639891.28,146343.14,1418432.14,4350846.24,169822.59,490727.66
2024-07-08,-1.05,-11.55,6.16,101.24,3.33,5.32,0.86,16.97,33.72,0.89,4.48,16.40,12.91,11.20,9881.03,3476.17,121129.44,1807.29,3313.63,0.00,201.97,123472.39,19591350.59,818206.71,1306451.21,232041.57,3909807.13,5742343.06,169656.23,897987.83
2024-07-09,-0.76,-12.60,7.40,97.79,7.32,9.40,0.48,17.58,26.13,1.41,3.12,12.80,11.56,10.20,9986.44,3937.74,116680.41,3974.94,5594.16,0.00,207.96,112197.47,19762704.35,1623310.46,2047401.02,120468.19,3800556.15,5446376.97,292447.91,661755.09
2024-07-10,-0.54,-15.63,14.13,85.95,6.38,11.05,0.60,14.55,21.39,1.78,7.17,13.50,11.14,9.90,10199.63,2769.45,102274.51,3465.57,6685.37,0.00,215.65,100735.01,18221907.82,1538346.72,2591309.42,158636.78,3426794.06,3503516.54,444004.56,1708988.04
2024-07-11,-1.09,-9.51,8.16,83.70,3.42,8.59,0.91,10.33,56.51,0.82,3.65,13.50,11.87,10.20,7150.08,4683.21,100319.62,1854.80,5061.48,0.00,160.27,76305.98,13164449.70,819617.07,1853248.66,187911.40,2194188.48,7313190.06,131962.13,602034.71
2024-07-12,-1.05,-16.02,6.72,104.72,2.50,9.15,0.91,13.14,13.03,2.42,6.98,14.70,10.30,7.90,15027.53,4547.39,125100.84,1357.40,5392.98,0.00,219.39,159699.31,22661806.22,527357.37,2173370.08,234015.42,3273737.18,2481160.60,362957.62,840203.42
