DateTime,Temp (°C),Pressure (hPa),Cloud Cover (%),Wind Speed 10m (km/h),Wind Speed 100m (km/h),Solar GHI (W/m²),Solar DNI (W/m²)
2024-01-01 00:00:00,19.9,1014.6,100.0,11.8,20.5,0.0,0.0
2024-01-01 01:00:00,19.4,1014.2,100.0,10.3,18.4,0.0,0.0
2024-01-01 02:00:00,19.5,1013.9,100.0,9.2,17.9,0.0,0.0
2024-01-01 03:00:00,19.1,1013.8,100.0,10.6,19.3,0.0,0.0
2024-01-01 04:00:00,19.1,1013.6,98.0,12.2,20.9,0.0,0.0
2024-01-01 05:00:00,18.9,1013.8,87.0,8.2,15.8,0.0,0.0
2024-01-01 06:00:00,19.3,1014.6,97.0,9.6,15.8,49.0,101.2
2024-01-01 07:00:00,20.4,1014.9,61.0,12.5,17.4,131.0,123.6
2024-01-01 08:00:00,21.5,1015.0,96.0,15.3,20.6,310.0,248.4
2024-01-01 09:00:00,22.4,1014.8,100.0,17.1,22.9,493.0,401.9
2024-01-01 10:00:00,22.4,1014.8,100.0,17.1,23.2,321.0,16.9
2024-01-01 11:00:00,22.0,1014.9,98.0,19.3,25.9,395.0,59.5
2024-01-01 12:00:00,21.8,1014.2,85.0,22.3,30.4,402.0,96.5
2024-01-01 13:00:00,22.5,1013.3,100.0,25.1,33.7,614.0,237.5
2024-01-01 14:00:00,22.4,1012.6,90.0,24.1,33.2,395.0,109.8
2024-01-01 15:00:00,23.3,1011.9,100.0,25.3,33.9,682.0,583.5
2024-01-01 16:00:00,23.3,1011.3,100.0,25.5,34.9,455.0,233.2
2024-01-01 17:00:00,23.0,1011.2,100.0,21.9,31.3,231.0,113.0
2024-01-01 18:00:00,22.9,1011.5,8.0,19.9,30.0,133.0,67.3
2024-01-01 19:00:00,22.4,1011.7,12.0,19.4,31.9,54.0,140.5
2024-01-01 20:00:00,22.1,1012.1,28.0,15.8,28.1,0.0,0.0
2024-01-01 21:00:00,22.3,1012.6,27.0,17.7,30.5,0.0,0.0
2024-01-01 22:00:00,22.3,1012.8,36.0,17.0,29.0,0.0,0.0
