DateTime,Temp (°C),Pressure (hPa),Cloud Cover (%),Wind Speed 10m (km/h),Wind Speed 100m (km/h),Solar GHI (W/m²),Solar DNI (W/m²)
2024-01-01 00:00:00,21.4,1015.4,43.0,6.6,16.1,0.0,0.0
2024-01-01 01:00:00,21.1,1015.1,100.0,9.2,21.4,0.0,0.0
2024-01-01 02:00:00,20.9,1014.6,100.0,9.6,20.2,0.0,0.0
2024-01-01 03:00:00,20.7,1015.2,100.0,10.8,21.7,0.0,0.0
2024-01-01 04:00:00,21.2,1015.3,99.0,12.3,21.6,0.0,0.0
2024-01-01 05:00:00,20.9,1015.6,100.0,10.5,19.6,0.0,0.0
2024-01-01 06:00:00,21.6,1015.9,72.0,11.6,18.8,43.0,70.0
2024-01-01 07:00:00,22.7,1016.8,71.0,13.1,19.0,163.0,241.5
2024-01-01 08:00:00,24.4,1017.1,100.0,14.2,20.9,356.0,327.8
2024-01-01 09:00:00,24.5,1017.2,100.0,12.1,17.3,310.0,139.7
2024-01-01 10:00:00,24.2,1017.4,100.0,16.3,23.2,377.0,73.3
2024-01-01 11:00:00,23.4,1017.9,100.0,15.5,24.5,220.0,8.5
2024-01-01 12:00:00,23.4,1016.7,100.0,17.1,25.2,323.0,22.2
2024-01-01 13:00:00,23.0,1016.1,100.0,14.8,23.4,255.0,21.4
2024-01-01 14:00:00,23.9,1015.6,100.0,15.3,21.9,384.0,46.7
2024-01-01 15:00:00,23.9,1015.4,100.0,14.8,21.9,210.0,11.2
2024-01-01 16:00:00,23.6,1015.5,100.0,14.7,23.0,186.0,7.7
2024-01-01 17:00:00,21.3,1015.9,100.0,13.7,23.3,108.0,6.5
2024-01-01 18:00:00,21.2,1016.0,100.0,13.8,25.3,30.0,0.0
2024-01-01 19:00:00,20.8,1016.7,100.0,10.5,19.8,8.0,0.0
2024-01-01 20:00:00,20.6,1016.4,100.0,9.1,17.8,0.0,0.0
2024-01-01 21:00:00,20.8,1016.8,100.0,11.5,22.0,0.0,0.0
2024-01-01 22:00:00,20.5,1016.5,100.0,9.7,19.5,0.0,0.0
2024-01-01 23:00:00,20.2,1016.1,100.0,9.9,23.1,0.0,0.0
2024-01-02 00:00:00,20.2,1015.4,100.0,8.6,13.3,0.0,0.0
2024-01-02 01:00:00,20.0,1015.0,100.0,9.5,17.9,0.0,0.0
2024-01-02 02:00:00,20.0,1014.3,100.0,6.9,13.8,0.0,0.0
2024-01-02 03:00:00,19.5,1013.6,100.0,12.9,24.5,0.0,0.0
2024-01-02 04:00:00,19.4,1013.6,100.0,11.3,22.8,0.0,0.0
2024-01-02 05:00:00,19.8,1013.6,100.0,13.3,29.0,0.0,0.0
2024-01-02 06:00:00,20.3,1014.5,100.0,11.7,28.6,7.0,0.0
2024-01-02 07:00:00,20.6,1014.9,100.0,12.9,26.5,12.0,0.0
2024-01-02 08:00:00,21.0,1015.1,100.0,14.7,26.3,41.0,0.0
2024-01-02 09:00:00,21.4,1014.9,100.0,16.1,28.6,93.0,4.3
2024-01-02 10:00:00,21.2,1014.5,100.0,19.3,34.1,62.0,0.0
2024-01-02 11:00:00,22.1,1015.5,100.0,13.8,24.7,111.0,0.0
2024-01-02 12:00:00,22.1,1014.9,100.0,16.1,28.8,109.0,0.0
2024-01-02 13:00:00,22.1,1013.7,100.0,18.7,33.6,113.0,1.0
2024-01-02 14:00:00,22.7,1013.5,100.0,19.4,33.3,213.0,6.5
2024-01-02 15:00:00,22.7,1013.1,100.0,15.9,27.5,170.0,2.5
2024-01-02 16:00:00,23.7,1012.7,100.0,15.6,25.3,293.0,46.0
2024-01-02 17:00:00,23.6,1012.6,100.0,16.9,27.6,213.0,71.2
2024-01-02 18:00:00,23.1,1012.9,100.0,14.6,26.8,126.0,89.7
2024-01-02 19:00:00,22.6,1013.2,100.0,13.1,26.4,18.0,0.0
2024-01-02 20:00:00,21.9,1013.2,100.0,11.7,25.3,0.0,0.0
2024-01-02 21:00:00,21.6,1013.5,100.0,9.7,22.8,0.0,0.0
2024-01-02 22:00:00,21.6,1013.7,100.0,11.2,24.5,0.0,0.0
2024-01-02 23:00:00,21.4,1013.9,75.0,10.4,23.0,0.0,0.0
2024-01-03 00:00:00,21.2,1013.5,66.0,13.2,25.9,0.0,0.0
2024-01-03 01:00:00,20.7,1013.0,40.0,11.4,24.1,0.0,0.0
2024-01-03 02:00:00,20.0,1012.3,19.0,9.3,21.8,0.0,0.0
2024-01-03 03:00:00,19.9,1011.8,1.0,10.1,23.2,0.0,0.0
2024-01-03 04:00:00,19.4,1011.9,5.0,9.4,21.7,0.0,0.0
2024-01-03 05:00:00,19.2,1012.3,8.0,10.5,23.6,0.0,0.0
2024-01-03 06:00:00,20.3,1012.9,6.0,12.0,24.7,61.0,256.3
2024-01-03 07:00:00,22.3,1013.6,13.0,10.3,17.4,252.0,575.7
2024-01-03 08:00:00,24.4,1013.5,12.0,13.2,19.0,464.0,685.6
2024-01-03 09:00:00,26.8,1013.0,100.0,16.5,23.3,648.0,723.4
2024-01-03 10:00:00,27.8,1012.4,41.0,16.4,23.4,655.0,380.7
2024-01-03 11:00:00,28.3,1012.3,47.0,10.4,14.5,683.0,393.5
2024-01-03 12:00:00,29.1,1011.9,100.0,9.4,13.1,854.0,619.7
2024-01-03 13:00:00,29.8,1011.1,98.0,8.4,11.2,786.0,473.9
2024-01-03 14:00:00,28.4,1010.7,70.0,11.3,15.7,572.0,331.2
2024-01-03 15:00:00,27.4,1010.7,87.0,8.9,13.0,671.0,612.4
2024-01-03 16:00:00,26.8,1010.5,50.0,10.3,14.7,398.0,332.5
2024-01-03 17:00:00,24.8,1010.9,50.0,8.8,13.8,353.0,503.5
2024-01-03 18:00:00,24.9,1011.5,18.0,6.6,12.2,180.0,427.4
2024-01-03 19:00:00,23.4,1012.1,18.0,5.2,14.0,27.0,107.5
2024-01-03 20:00:00,22.9,1012.2,11.0,5.4,16.2,0.0,0.0
2024-01-03 21:00:00,22.3,1012.4,4.0,5.6,17.4,0.0,0.0
2024-01-03 22:00:00,21.8,1012.5,2.0,5.0,15.9,0.0,0.0
2024-01-03 23:00:00,21.9,1012.0,1.0,5.9,17.9,0.0,0.0
2024-01-04 00:00:00,21.5,1011.7,4.0,5.1,14.6,0.0,0.0
2024-01-04 01:00:00,21.3,1011.6,22.0,6.1,15.6,0.0,0.0
2024-01-04 02:00:00,21.3,1011.5,34.0,7.9,18.7,0.0,0.0
2024-01-04 03:00:00,21.0,1011.3,32.0,7.1,17.8,0.0,0.0
2024-01-04 04:00:00,20.9,1011.0,47.0,6.4,16.3,0.0,0.0
2024-01-04 05:00:00,20.7,1011.3,40.0,7.1,16.7,0.0,0.0
2024-01-04 06:00:00,22.0,1012.1,23.0,7.4,15.0,60.0,236.9
2024-01-04 07:00:00,23.8,1012.5,49.0,6.4,9.6,232.0,467.8
2024-01-04 08:00:00,25.8,1012.9,100.0,10.5,14.5,419.0,548.7
